"URI","Label","Definition","Notation","Status","AcceptedDate","skos:relatedMatch"
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/Bq","becquerel","One becquerel is defined as the activity of a quantity of radioactive material in which one nucleus decays per second","Bq","valid","",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/fg.m-3","Femtograms per cubic metre of ambient air","Femtograms per cubic metre of ambient air. Unif of amount of chemical vapors, fumes, or dust in the ambient air.","fg/m3","valid","",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/m-1","Per meter","Per meter","m-1","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/mg.l-1","Micrograms per litre.","Micrograms per litre.","mg/l","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/mg.m-3","Miligrams per cubic metre of ambient air","Miligrams per cubic metre of ambient air. Unit of amount of chemical vapors, fumes, or dust in the ambient air.","mg/m3","valid","2013-08-01",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/mg.m-3.day","Micrograms per cubic meter times day","Micrograms per cubic meter times day","mg/m-3.day","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/mg.m-3.h","Micrograms per cubic meter times hour","Micrograms per cubic meter times hour","mg/m3.h","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/mgN.l-1","Milligrams nitrogen per litre","Milligrams nitrogen per litre","mg N/l","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/mgN.m-2.m-1","Milligrams nitrogen per square meter per month","Milligrams nitrogen per square meter per month","mg N/m2/m","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/mgS.l-1","Milligrams sulphur per litre","Milligrams sulphur per litre","mg S/l","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/mgS.m-1","Milligrams nitrogen per meter",,"mgS.m-1","valid","",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/mgS.m-2.m-1","Milligrams sulphur per square meter per month","Milligrams sulphur per square meter per month","mg S/m2.m","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/mm","Millimeter","Millimeter","mm","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.l-1","Nanograms per litre","Nanograms per litre","ng/l","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-2","Nanograms per square meter","Nanograms per square meter","ng/m2","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-2.day-1","Nanograms per square metre per day","Unit of amount of chemical vapors, fumes, or dust deposited from the air.","ng/m2/day","valid","2013-08-01",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ng.m-3","Nanograms per cubic metre of ambient air","Nanograms per cubic metre of ambient air. Unit of amount of chemical vapors, fumes, or dust in the ambient air","ng/m3","valid","2013-08-01",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/pHunits","pH","pH","pH units","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/particles.cm-3","particles.cm-3","Number of particles per cm3","particles.cm-3","valid","",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/pg.m-2.day-1","Picograms per square metre per day","Unit of amount of chemical vapors, fumes, or dust deposited from the air.","pg/m2/day","valid","",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/pg.m-3","Picograms per cubic metre of ambient air","Picograms per cubic metre of ambient air. Unif of amount of chemical vapors, fumes, or dust in the ambient air.","pg/m3","valid","2013-08-01",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ppbv","Parts per billion per volume","Parts per billion per volume","ppbv","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ppmv","Parts per million by volume","Parts per million by volume","ppmv","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/pptv","Parts per trillion per volume","Parts per trillion per volume","pptv","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/uS.cm-1","Micro Siemens per centimeter","Micro Siemens per centimeter","uS/cm","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ueH.l-1","micromoles per litre","micromoles per litre","ue H/l","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.l-1","Micrograms per litre","Micrograms per litre","µg/l","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-2.day-1","Micrograms per square metre per day","Unit of amount of chemical vapors, fumes, or dust deposited from the air.","ug/m2/day","valid","2013-08-01",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3","Micrograms per cubic meter","Micrograms per cubic meter","µg/m3","valid","2013-08-01",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3.day","Micrograms per cubic metre per day","Micrograms per cubic metre per hour. Unit for Ozone SOMO35","ug/m3·day","valid","2014-06-03",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ug.m-3.h","Micrograms per cubic metre per hour","Micrograms per cubic metre per hour. Unit for the calculation of the accumulated amount of ozone over the threshold value of 40 ppb (AOT40)","ug/m3·h","valid","2014-05-19",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ugC.m-3","Micrograms of carbon per cubic metre","Micrograms of carbon per cubic metre","µg C/m3","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ugN.m-3","Micrograms of nitrogen per cubic metre","Micrograms of nitrogen per cubic metre","µg N/m3","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ugNO2.m-3","Units of mass concentration of nitrogen dioxide (μg/m3)","‘Oxides of nitrogen’ shall mean the sum of the volume mixing ratio (ppbv) of nitrogen monoxide (nitric oxide) and
nitrogen dioxide expressed in units of mass concentration of nitrogen dioxide (μg/m3).","ugNO2/m3","valid","2014-09-08","http://dd.eionet.europa.eu/vocabulary/aq/pollutant/9"
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ugS.m-3","Micrograms of sulphur per cubic metre","Micrograms of sulphur per cubic metre","µg S/m3","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/ugSO2.m-3","Micrograms of sulphur dioxide per cubic metre","Micrograms of sulphur dioxide per cubic metre","µg SO2/m3","valid","2014-11-06",
"http://dd.eionet.europa.eu/vocabulary/uom/concentration/nm","Nanometer","Nanometer","nm","valid","2022-03-25",
